digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
3463379f03d144172e7231e4c7aca548d3fbc919360c145f76495c6c6e805048,79,0xd8182dd87043acd1c4f7b8ec07a0c2f8c0206707,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113893,11.0,11,1.03319891e+18,1627488118122,1,7,8,1,12,6,15
bed5f7c287bc935dcebf916acf9ebece1abae5a31f8fd6cdbe7201fde15ebbb3,95,0xc517a1cef7630dc7febd59e9f7fb80f56eacb21e,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113897,11.0,11,5.07616388e+18,1627488118137,1,8,14,1,6,7,15
7deb6a08b758c9e496805e4cb70eb94e4dddea9630270779f41bc867d08dbe10,96,0x2456be9e99719dd3e61f8b3e782bb99a6e309e99,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113898,11.0,11,2.00386883e+18,1627488118142,1,8,9,1,10,14,15
719723311305fea5567d002efbdaae81c9bfd7d72ccd3eba90566ba92af2d0c3,97,0x0b6435ddf12093801c9d3e069f9bdf7fe2906080,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113898,11.0,11,1.8058874552e+20,1627488118154,1,0,8,1,11,8,15
7990a89c46a29f2896b9f54f5d294cd0bf692131a6f2871a24a67bf1087a5cd6,99,0x8df03bd37602d97980327b58d940258dc57007b3,0x047ff53dfe1f7bd2c3ed2d1f777f35d1f64e9ffe,1627488113898,11.0,11,1.4669e+19,1627488118159,1,3,14,7,7,5,9
ba724871a2c6f6d87e93c6854470617604e5fd29b0fd958c2e9b5fc107df787d,148,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113909,11.0,11,1.0,1627488118166,1,2,2,3,3,3,3
67ee8ef2e5e50bcdbdac8d9cb648955708d860256d45e903831d927b270c2ced,161,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113911,11.0,11,1.0,1627488118188,1,2,2,3,3,3,3
5322f76b798dc609f6a4be08cd809dc3e8cd482e56a778cd854179398dd9ef4d,174,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113913,11.0,11,1.0,1627488118194,1,2,2,3,3,3,3
f5a7f46afc212bb6cb43fc0e20d941d3a1ad29b184145ac5644fb5ade6d4f25a,186,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113916,11.0,11,1.0,1627488118204,1,2,2,3,3,3,3
90e6eade8cc99a5f703a54ad6a9f119cfc38b29b049e044bf834a1551a27e58a,199,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113918,11.0,11,1.0,1627488118221,1,2,2,3,3,3,3
aefc5bca1d54e34dd96ca5dc328a2c82677567c1e93548c02d89665dd776a9f8,212,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113920,11.0,11,1.0,1627488118230,1,2,2,3,3,3,3
6e661c280dd05087fd192bead98dcdce88de2f0a0dbc04b827a7e9173865069e,219,0x047ff53dfe1f7bd2c3ed2d1f777f35d1f64e9ffe,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113921,11.0,11,1.46677711e+19,1627488118238,1,8,14,1,7,9,15
a55383cf33ae9384c96f929894a5bce1b0628bbc077b440fa8cfb4a63850c329,220,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113922,11.0,11,5.0386961e+18,1627488118247,1,8,13,1,5,3,3
aad507f38b41eb20275765ab4cd656a0f0b83a79890e5f8fa27a8707355684ab,221,0x98f2c2754c77b49993eea4dcd2d9aba71b696b60,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113922,11.0,11,3.866278314e+19,1627488118261,1,0,8,1,7,5,15
9916e77d68a67aeff5c5384a94dd2aba7a952a69ec253d06f4efc053bcff0856,222,0xb85150eb365e7df0941f0cf08235f987ba91506a,0xce7a6e1143620333cbaedb089a14a5c08a3b7df2,1627488113922,11.0,11,4.99e+18,1627488118272,1,2,10,11,11,15,15
fb43f646f7496c2e138b3d8a8e1296b58bdbc3c144eae3df5f09a482942e8818,228,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113925,11.0,11,1.0,1627488118282,1,2,2,3,3,3,3
db42869f05f4d2b4344959c909a07478a95518b141c1e867a91d6bd853e2eef2,241,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113928,11.0,11,1.0,1627488118291,1,2,2,3,3,3,3
ad8ff63ebd669a8fe963ffa35d5ff4be33faadd534ee2839f54e381fca18ae28,253,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113931,11.0,11,1.0,1627488118299,1,2,2,3,3,3,3
bd600e5091167a1121b7c1e4d0f2219df6b7a47bf4fa1fb5caa72371569716e1,406,0xc839ee5542b4e8413246b3634c5c739fea949562,0x1c10a5aabc2555ee3027d5758c4b7b462605f972,1627488113962,11.0,11,0.0,1627488118308,1,2,2,3,3,6,6
b3f2ee218256cb189fea45c1ab535ae86ac7b04a4ab7c60f02dd28508df9145e,411,0x790b8a3ce86e707ed0ed32bf89b3269692a23cc1,0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5,1627488113963,11.0,11,5.39e+19,1627488118321,1,1,5,5,5,9,9
ee20ff9232e1076fcbc58d74e35987e37b862ebfc363386a6c6db2e7ba4e6f28,422,0x0a5229166b58969fe7a7efa983aa4c2b2414fdfe,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113965,11.0,11,4.30829508e+18,1627488118329,1,8,14,1,10,7,15
4f4e6ccfcea837fe6e6bafc8ab2184c8f9b301e93dc5352eb5796e3edbddb6a1,428,0x01ad0acff478127d9d702b1a13599d706cb759b1,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113967,11.0,11,6.66675874e+18,1627488118339,1,1,8,1,7,5,15
d6d69459f96ae3292b2fdbf15c4e4fcb8bd61779edd426fa858833f97d185493,433,0xce7a6e1143620333cbaedb089a14a5c08a3b7df2,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113968,11.0,11,4.98875874e+18,1627488118347,1,2,8,1,11,15,15
d6c5c0e458da615d08aeeb6643b0bedfc2f48b4d8451ae572b71cc1253a9dea6,440,0xf000d531b485d3fc32ed670b26509813d8f47008,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113969,11.0,11,3.0191234922e+20,1627488118357,1,8,8,1,7,11,15
856dc391c69f4128f961c3e51a58cdbbae6a8949dfdd046358f19965a8b814f5,449,0xd9176cf582b2f51fad57941e0a84dfba0ed3620d,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113972,11.0,11,1.3208032951e+20,1627488118364,1,8,13,1,7,11,15
589c312532aa2d2f3de6d4c18a0829d33dfd695453be3db794b2a4c22d69a082,450,0xcd424c53f5dc7d22cdff536309c24ad87a97e6af,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113972,11.0,11,5.01888621e+18,1627488118372,1,8,15,1,8,7,15
1639b68c886b9d10ec638ed07fd193a7da6dc8be60717f1e971b6f9115963d0e,451,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113972,11.0,11,4.99872951e+18,1627488118382,1,8,13,1,5,12,12
fd7243f0ce8039e727cb0ca6815b4bec3b48efdefc6f3e41270d00edca79c72f,452,0xdf257408c85c0e02af46433ff76081917d8e032d,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113972,11.0,11,6.037342951e+19,1627488118389,1,8,13,1,7,11,15
b73257836a9c78e4cba09cc5a63c2be9b0d508c3b4a7364621090f1ae811dbeb,456,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x7c5080988c6d91d090c23d54740f856c69450b29,1627488113973,11.0,11,4.080041e+16,1627488118395,1,9,14,2,2,12,12
3f958ea48f4269b8db2b2e9c3be1dda5215d5f3da03db7cc5b2c27be51f17091,461,0x7c5080988c6d91d090c23d54740f856c69450b29,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113974,11.0,11,6.111729e+16,1627488118402,1,8,9,1,2,12,12
a0161685311333bcccf1236b8d754e747159ef5ee574fb9414de52703ee58516,462,0xc65e24227e40a6a0be5c5cf1f0f120c2310e9f7a,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113974,11.0,11,5.12673149e+18,1627488118410,1,8,10,1,9,7,15
4e3f5ae1f590d741c76155fe874da3f67190c40dca95da81c074d68b6d2fb0fb,463,0xdf257408c85c0e02af46433ff76081917d8e032d,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113975,11.0,11,6.037351817e+19,1627488118417,1,8,13,1,7,11,15
8623b6bd63ccd196013703a2ffb60b61b80a18f3dd9f258ee1dbdf58f79d405d,464,0xfaf4d1326d886d8dfe403b3f8a00dc7a7ea05629,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113975,11.0,11,1.01472861e+18,1627488118424,1,8,9,1,8,7,15
130cb9298b1a2e62e63ac7eeb751d1178bb6c9c7de03126c5768b0abc1fd32d8,466,0xd71ee7c2bcc2aaf35e7e138129c41aa4fe1ed6b3,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113975,11.0,11,1.76781721e+18,1627488118435,1,3,8,1,7,11,15
b27b904a803385967b18b2dbc8aefb879614a68c0a0239f4934ade31792091e3,471,0xb8796061fcccc0c40bd2060d95d6cff928bd1c1b,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113976,11.0,11,4.99877202e+18,1627488118444,1,8,11,1,5,2,15
3f980d7c732a4b90619932496d06cabea6a0e5a2e0802001fef0c395d3ccb17c,472,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xe5043d4b11536405f430c7e8323094c33bad8d8b,1627488113976,11.0,11,1.98644603e+18,1627488118451,1,8,11,1,10,8,15
50adf2c734edfe4ebef6743f8b916f78684d0f28ca6c984ac5765c232cf11303,473,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x7c5080988c6d91d090c23d54740f856c69450b29,1627488113976,11.0,11,1.384589e+16,1627488118469,1,9,14,2,2,12,12
b5dfbbeb8f06724e125062b36570e1254a99ab873c9ae23684e927aafefb43c6,476,0x4e83bb907115b265b53b1184f9acf0de4f5e4d2b,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113977,11.0,11,1.00460214e+18,1627488118476,1,8,11,1,7,7,15
da04196cd11e91e88d5a32326d00882ce6158ea8b94f8aea7b41b1974f5c5ddf,477,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x1454fe62a285aeba20f1c08fd413f6a95e5199ed,1627488113977,11.0,11,1.0e+20,1627488118482,1,8,13,1,6,2,15
3eb62616304e3581fd1c60fa481e8f5c44f90e9b76768875f7f8f14661a2b372,478,0xc839ee5542b4e8413246b3634c5c739fea949562,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113977,11.0,11,1.0e+18,1627488118490,1,2,9,3,9,8,9
87b5d90bc114b0fa858f44d84c97d718f96f6da6ea620a01c48c91fb76a0be8f,479,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x7c5080988c6d91d090c23d54740f856c69450b29,1627488113977,11.0,11,1.332852e+16,1627488118497,1,9,14,2,2,12,12
e9af93e9a0fefa6a0b4765b50be3f1a2f6c7a86e367c8efb52590e8d230b65bc,480,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113977,11.0,11,2.000226378e+19,1627488118505,1,8,13,1,5,12,12
2ccfe331f8ada4edb8eb73a6ccb0747173efcfe08f65864ccd7daafd0b56f29c,484,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113978,11.0,11,5.0e+17,1627488118512,1,9,12,3,9,8,9
37bc1dadb7773e8ad0825991bf1c8bdab09f79b7ad3ce22fade3e22846ba601d,485,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113978,11.0,11,1.0e+18,1627488118525,1,9,12,3,9,8,9
